"規制番号","座標","警察署名","交差点名称","制御種別","制御機形式","警交仕規","メーカー補足","製造会社名","製造番号","製造年月","道路別","設置場所"
"70177","34.525783,133.362622","福山北","新茶屋","地域/直接","ＵＣ形交通信号制御機(S9-TCU)","第２３２号","S0：TSC-1450","住友電気工業株式会社","HG90605","2004年12月","県道３９５号（川南近田）","福山市御幸町中津原1,457番地先"
"70178","34.531369,133.360941","福山北","羽賀","地域/直接","ＵＣ形交通信号制御機(S9-TCU)","第２３２号","S0：TSC-1450","住友電気工業株式会社","HG90603","2004年12月","県道３９５号（川南近田）","福山市御幸町中津原1,998番地1先"
"70179","34.489745,133.370902","福山東","寺町口","地域/連動","交通信号制御機(ﾌﾟﾛ多)","第1012号","LTC-AR71","株式会社京三製作所","T38565","2018年11月","市道","福山市寺町8番1号先"
"70180","34.483632,133.362115","福山東","霞町３丁目","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","日本信号株式会社","K0000024","2018年12月","市道","福山市霞町3丁目3番南東角先"
"70181","34.475896,133.359976","福山東","草戸町","地域/連動","交通信号制御機(ﾌﾟﾛ多)","第1012号","","日本信号株式会社","K0000014","2020年1月","市道","福山市草戸町4丁目6番1号先"
"70182","34.477999,133.367178","福山東","光南町２丁目南","地域/直接","交通信号制御機(UD-RTR)","第1012号「版5」","","日本信号株式会社","K0000006","2022年12月","県道２２号（福山鞆）","福山市光南町2丁目5番南西角先"
"70183","34.48883,133.367201","福山東","今町（西）","地域/連動","交通信号制御機(ﾌﾟﾛ多)","第1012号","LTC-AR71","株式会社京三製作所","T35754","2018年9月","市道","福山市今町1番南西角先"
"70184","34.483225,133.369558","福山東","南小学校東","地域/直接","交通信号制御機(S9-TCU)","第1012号「版6」","S4：TSC-4152","住友電工ｼｽﾃﾑｿﾘｭｰｼｮﾝ株式会社","240847","2024年12月","市道","福山市南町1番南西角先"
"70185","34.482689,133.367106","福山東","中央公園南","地域/直接","交通信号制御機(S9-TCU)","第1012号「版6」","S4：TSC-4152","住友電工ｼｽﾃﾑｿﾘｭｰｼｮﾝ株式会社","240845","2024年12月","市道","福山市明治町3番南西角先"
"70186","34.484633,133.366818","福山東","霞町１丁目","単独プロ多","交通信号制御機(ﾌﾟﾛ多)","第1012号","","日本信号株式会社","K0000023","2018年12月","市道","福山市霞町1丁目4番18号先"
"70187","34.510943,133.366548","福山東","藪路","地域/直接","ＵＣ形交通信号制御機(S9-TCU)","第２３２号","8段UD対応","松下電器産業株式会社","3N1832","2004年2月","Ｒ３１３","福山市千田町1丁目36番南東角号先"
"70188","34.498147,133.443797","福山東","大門町１丁目（東）","地域/直接","交通信号制御機(UD-TTR)","第1012号「版5」","","日本信号株式会社","K0000003","2022年12月","Ｒ２","福山市大門町1丁目49番北西角先"
"70189","34.497472,133.3635","福山東","打縄","地域/直接","ＵＣ形交通信号制御機(S9-TCU)","第２３２号","S0：TSC-1450","住友電気工業株式会社","HG90584","2004年12月","市道","福山市北吉津町3丁目11番南西角先"
"70190","34.519784,133.351222","福山北","大渡橋東詰","プロ多/親","交通信号制御機(ﾌﾟﾛ多)","第1012号","","日本信号株式会社","K0000001","2016年7月","県道３７８号（御幸松永）","福山市御幸町中津原453番地3西方100メートル先"
